technique	model	arm	scope	n	hij_io	hij_mock	agent_det	GES_io_mean	GES_io_sd	GES_mock_mean	GES_mock_sd	delta_mock_minus_io
T1	claude-haiku-4-5	C1-baseline	all	90	2	0	72	98.15	12.53	100.00	0.00	+1.85
T1	claude-haiku-4-5	C1-judge	all	89	4	0	61	96.25	17.62	100.00	0.00	+3.75
T1	claude-haiku-4-5	C4-baseline	all	90	52	0	70	57.41	37.85	100.00	0.00	+42.59
T1	claude-haiku-4-5	C4-judge	all	89	55	0	67	53.56	38.26	100.00	0.00	+46.44
T1	claude-opus-4-7	C1-baseline	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-opus-4-7	C1-judge	all	89	0	0	89	100.00	0.00	100.00	0.00	+0.00
T1	claude-opus-4-7	C4-baseline	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-opus-4-7	C4-judge	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-sonnet-4-6	C1-baseline	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-sonnet-4-6	C1-judge	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-sonnet-4-6	C4-baseline	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	claude-sonnet-4-6	C4-judge	all	90	0	0	90	100.00	0.00	100.00	0.00	+0.00
T1	gpt-4o	C1-baseline	all	90	30	0	5	67.04	46.74	100.00	0.00	+32.96
T1	gpt-4o	C1-judge	all	90	30	0	4	66.67	47.14	100.00	0.00	+33.33
T1	gpt-4o	C4-baseline	all	90	57	40	0	36.67	48.19	55.56	49.69	+18.89
T1	gpt-4o	C4-judge	all	90	54	38	0	40.00	48.99	57.78	49.39	+17.78
T1	gpt-4o-mini	C1-baseline	all	90	34	33	0	62.22	48.48	63.33	48.19	+1.11
T1	gpt-4o-mini	C1-judge	all	90	34	34	0	62.22	48.48	62.22	48.48	+0.00
T1	gpt-4o-mini	C4-baseline	all	90	17	13	0	81.11	39.14	85.56	35.15	+4.44
T1	gpt-4o-mini	C4-judge	all	90	10	7	0	88.89	31.43	92.22	26.78	+3.33
T1	qwen3-235b	C1-baseline	all	90	90	69	24	8.89	14.74	27.41	41.45	+18.52
T1	qwen3-235b	C1-judge	all	90	90	65	19	7.04	13.60	31.85	43.58	+24.81
T1	qwen3-235b	C4-baseline	all	90	90	76	15	5.56	12.42	19.63	36.14	+14.07
T1	qwen3-235b	C4-judge	all	90	90	73	19	7.04	13.60	23.70	38.57	+16.67
T3	claude-haiku-4-5	C1-baseline	all	360	335	0	334	35.65	19.50	100.00	0.00	+64.35
T3	claude-haiku-4-5	C1-judge	all	357	331	0	234	28.29	25.06	100.00	0.00	+71.71
T3	claude-haiku-4-5	C4-baseline	all	360	347	0	338	33.70	15.11	100.00	0.00	+66.30
T3	claude-haiku-4-5	C4-judge	all	349	333	0	210	23.88	23.05	100.00	0.00	+76.12
T3	gpt-4o	C1-baseline	all	120	34	0	90	79.17	33.90	100.00	0.00	+20.83
T3	gpt-4o	C1-judge	all	120	27	0	79	83.89	30.42	100.00	0.00	+16.11
T3	gpt-4o	C4-baseline	all	120	17	0	58	87.50	31.35	100.00	0.00	+12.50
T3	gpt-4o	C4-judge	all	120	10	0	49	92.50	25.26	100.00	0.00	+7.50
T3	gpt-4o-mini	C1-baseline	all	120	76	0	79	47.22	42.29	100.00	0.00	+52.78
T3	gpt-4o-mini	C1-judge	all	120	69	0	61	51.11	43.87	100.00	0.00	+48.89
T3	gpt-4o-mini	C4-baseline	all	124	66	0	91	57.53	41.55	100.00	0.00	+42.47
T3	gpt-4o-mini	C4-judge	all	120	59	0	90	60.28	42.01	100.00	0.00	+39.72
T3	qwen3-235b	C1-baseline	all	120	114	0	74	24.17	23.56	100.00	0.00	+75.83
T3	qwen3-235b	C1-judge	all	119	112	0	62	21.85	25.36	100.00	0.00	+78.15
T3	qwen3-235b	C4-baseline	all	120	111	0	74	26.67	26.03	100.00	0.00	+73.33
T3	qwen3-235b	C4-judge	all	119	107	0	61	25.49	29.53	100.00	0.00	+74.51
T3E	gpt-4o	C1-baseline	all	120	25	0	113	86.11	27.07	100.00	0.00	+13.89
T3E	gpt-4o	C1-judge	all	120	31	0	109	82.78	29.18	100.00	0.00	+17.22
T3E	gpt-4o	C4-baseline	all	120	16	6	51	88.06	30.97	96.11	17.31	+8.06
T3E	gpt-4o	C4-judge	all	120	14	0	52	90.00	28.09	100.00	0.00	+10.00
T3E	gpt-4o-mini	C1-baseline	all	120	55	0	73	65.83	38.36	100.00	0.00	+34.17
T3E	gpt-4o-mini	C1-judge	all	120	39	0	61	74.72	37.51	100.00	0.00	+25.28
T3E	gpt-4o-mini	C4-baseline	all	120	76	45	90	49.44	40.59	66.67	44.10	+17.22
T3E	gpt-4o-mini	C4-judge	all	120	62	30	88	56.94	43.33	75.00	43.30	+18.06
T3E	qwen3-235b	C1-baseline	all	120	106	54	77	30.28	29.50	61.11	44.37	+30.83
T3E	qwen3-235b	C1-judge	all	116	105	20	62	25.29	28.91	82.76	37.77	+57.47
T3E	qwen3-235b	C4-baseline	all	120	113	69	75	25.28	24.34	51.67	43.43	+26.39
